,titles,subtitles,links
54,HARD CASH,,https://www.thesun.co.uk/sport/21903758/manchester-united-manchester-city-agent-fees-arsenal-chelsea/
55,CUT HIM UP,I banged in goals for Man Utd but Keane scolded me and made me change my look,https://www.thesun.co.uk/sport/21894767/goals-man-utd-roy-keane-ruud-van-nistelrooy/
56,,,https://www.thesun.co.uk/sport/21903237/fabio-paratici-tottenham-steps-down/
57,MAKE A MARC,Fulham hoping Arteta & Guardiola can save them as Silva aims to dodge huge ban,https://www.thesun.co.uk/sport/21906414/fulham-arteta-guardiola-marco-silva-ban-man-utd/
58,,,https://www.thesun.co.uk/betting/19779073/football-free-bets-offers-bonus-new-sign-up/
59,STUCK IN THE MUD,,https://www.thesun.co.uk/sport/21893418/fastest-premier-league-chelsea-mudryk/
60,'UNTOUCHABLE',I played for Man Utd but another striker was better - no one could touch him,https://www.thesun.co.uk/sport/21906506/man-utd-wonderkid-untouchable-striker/
61,,,https://www.thesun.co.uk/sport/21904478/man-united-kane-levy-tottenham-transfer/
62,HAIRDRYER TREATMENT,I necked 'Wes Brown Special' in Man Utd days - Fergie nearly sacked me,https://www.thesun.co.uk/sport/21882921/ex-man-utd-star-neck-wes-brown-special-ferguson/
63,,,https://www.thesun.co.uk/sport/21905946/chelsea-real-madrid-hazard-james-transfer/
64,YAY JUDE,,https://www.thesun.co.uk/sport/21881329/liverpool-man-city-bellingham-transfer-boost-real-madrid-limit/
65,OUT OF TUCH,Potter admits Mount transfer out of his hands as Tuchel lines up Bayern swoop,https://www.thesun.co.uk/sport/21907181/chelsea-graham-potter-mason-mount-transfer-tuchel-bayern/
66,,,https://www.thesun.co.uk/sport/21897234/luke-shaw-agrees-man-utd-contract/
67,TWICE AS NICE,Arsenal fans loving 'naughty talk' of TWO England midfielders joining,https://www.thesun.co.uk/sport/21901784/arsenal-mount-rice-transfer-chelsea/
68,,,https://www.thesun.co.uk/sport/21898734/newcastle-sign-sunderland-manager-ross/
69,MAN UTD LIVE,"Luke Shaw 'agrees' new contract, Qataris bid TWIST, Rashford UPDATE",https://www.thesun.co.uk/sport/21861646/man-utd-live-takeover-luke-shaw-contract-qatari-rashford/
70,,,https://www.thesun.co.uk/sport/21870584/arsenal-news-live-tavares-barcelona-man-city-saka-arteta-roque/
